X,Y,ET_ID,LINKNO,ROADNO,STARTKM,ENDKM,LENGTHKM,STARTDESC,ENDDESC,CLASS,REGION,WIDTH,LANES,SURFTYPE,CONDITION,AADT,PAVEMTYPE,COMMENT
13.1413510339309,-6.91420233115085,,210-02,EN210,0,44.24,44.24,CASA DA TELHA,TOMBOCO,Primary,ZAIRE,7.9,2,Paved,Good,415,Paved,
13.3501364421843,-8.17300319684819,,100-10,EN100,0,113.3,113.3,BRIDGE FREITAS MORNA,CAXITO,Primary,BENGO,7,2,Paved,Good,185,Paved,
13.4042433533638,-7.85293489612576,,220-01,EN220,0,81.52,81.52,Ambriz,Bela Vista,Primary,BENGO,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
12.8870129881704,-7.44686030863264,,100-08,EN100,0,51.58,51.58,N'ZETO,MUSSERRA,Primary,ZAIRE,7,2,Paved,Good,185,Paved,
13.6473955455865,-9.21059613763443,,110-03,EN110,0,21.02,21.02,CATETE,CABALA,Primary,BENGO,7.9,2,Paved,Good,350,Paved,
13.5833723945788,-9.00799887659232,,110-02,EN110,0,36.9,36.9,FUNDA,CATETE,Primary,BENGO,7.9,2,Paved,Good,900,Paved,
13.3878247147463,-8.70715243136162,,100-11,EN100,0,60.23,60.23,CAXITO,LUANDA,Primary,LUANDA,7,2,Paved,Good,2137,Paved,
13.6097440716838,-8.58083917340025,,225-01,EN225,0,4.57,4.57,Caxito (Prox.),Sassa,Primary,BENGO,7.9,2,Paved,Good,200,Paved,2 assumptions made: Based on map information road is paved and traffic assumed a maximum of 200 cars/day
14.6884343102451,-8.35021607838482,,120-11,EN120,0,25.53,25.53,VISTA ALEGRE,PONTE DO SANGUE,Primary,UIGE,8,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.
15.1418622410712,-7.65998255053285,,220-11,EN220,0,31.24,31.24,U°ge,Negage,Primary,UIGE,5.5,2,Unpaved,Poor,20,Track,2 assumptions made: Based on map information road is a track and traffic assumed a maximum of 20 cars/day
15.2286888929455,-7.60297478061112,,140-05,EN140,0,36.48,36.48,BUNGO,NEGAGE,Primary,UIGE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
15.8987460027402,-7.4249348361822,,220-14,EN220,0,35.41,35.41,AlfÉndega,Sanza Pombo,Primary,UIGE,7.9,2,Paved,Good,200,Paved,2 assumptions made: Based on map information road is paved and traffic assumed a maximum of 200 cars/day
15.2778028699401,-7.93712845087027,,140-06,EN140,0,59.54,59.54,NEGAGE,CAMABATELA,Primary,UIGE,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.
15.3268881068296,-11.7829585379511,,120-22,EN120,0,113.67,113.67,WAKO-KUNGO,ALTO HAMA,Primary,CUANZA SUL,7,2,Paved,Good,1029,Paved,
14.5350254582348,-9.96133370204238,,120-19,EN120,0,85.23,85.23,ALTO DONDO,LUCUSSO,Primary,CUANZA SUL,7,2,Paved,Good,1029,Paved,
13.4545348605554,-9.02899082903334,,230-02,EN230,0,46.45,46.45,Viana,Catete,Primary,LUANDA,7.9,2,Paved,Good,5523,Paved,
13.412351088684,-10.0315093864066,,100-14,EN100,0,99.96,99.96,CABO LEDO,RIO LONGA,Primary,BENGO,7,2,Paved,Good,900,Paved,
12.9782227191416,-9.09044104272512,,100-12,EN100,0,72.34,72.34,LUANDA,BARRA DO KWANZA,Primary,LUANDA,7,2,Paved,Good,7506,Paved,
14.6489097054003,-9.48916925532406,,120-18,EN120,0,61.02,61.02,N'DALATANDO,ALTO DONDO,Primary,CUANZA NORTE,7,2,Paved,Good,718,Paved,
15.8835690890025,-9.47387632723366,,230-09,EN230,0,62.07,62.07,Cacuso,Lombe,Primary,MALANJE,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.
17.4527027132685,-9.46060156310285,,230-16,EN230,0,78.21,78.21,Xandel,Xamuteba,Primary,LUNDA NORTE,7.9,2,Paved,Good,500,Paved,
18.0182170102836,-8.90048354414538,,165-03,EN165,0,61.09,61.09,LUREMO,CUANGO,Primary,LUNDA NORTE,7.9,2,Paved,Good,182,Paved,8KM TRACK - Condition Poor
18.8189706856432,-9.60830669569647,,230-19,EN230,0,92.96,92.96,Capenda Camulemba,Xinge,Primary,LUNDA NORTE,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.
19.5356887246085,-10.044291769931,,230-21,EN230,0,91.53,91.53,Caculo,Mona Quimbundo,Primary,LUNDA SUL,7.9,2,Paved,Good,1184,Paved,
21.0599590625651,-9.83915847820396,,230-23,EN230,0,104.7,104.7,Saurimo,Murienge,Primary,LUNDA SUL,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
